scorer,,,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg
bodyparts,,,Neck,Neck,Tailset,Tailset,LeftFrontPaw,LeftFrontPaw,RightFrontPaw,RightFrontPaw,leftBackPaw,leftBackPaw,RightBackPaw,RightBackPaw
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,testDogVideo_raw071452,img0078.png,,,173.78638784261875,62.669995120686515,,,,,166.01902062677436,124.13350961128134,167.36986709909513,115.69071915927654
labeled-data,testDogVideo_raw071452,img0158.png,214.64949363032196,52.87635819636096,151.49742104932614,68.74880424612996,220.3905911376852,125.14664446552192,222.07914922808612,132.5763000632861,165.00588577253382,119.74325857623884,156.9008069386092,131.56316520904554
labeled-data,testDogVideo_raw071452,img0289.png,224.10541893656728,49.49924201555904,166.69444386293475,65.37168806532804,,,231.87278615241166,128.18604902824364,162.64190444597244,122.10723990280019,175.47494593301974,132.5763000632861
labeled-data,testDogVideo_raw071452,img0429.png,220.3905911376852,59.96830217604498,191.34739198278874,116.36614239543692,231.19736291625134,122.78266313896057,242.00413469481742,130.88774197288515,,,231.5350745343315,132.23858844520592
labeled-data,testDogVideo_raw071452,img0833.png,204.5181450879162,90.70005942134239,146.09403516004306,111.63817974231426,254.4994645637845,123.12037475704076,255.51259941802505,130.2123187367248,,,,
labeled-data,testDogVideo_raw071452,img1024.png,204.18043346983598,90.70005942134239,146.43174677812328,112.65131459655484,255.17488779994488,123.12037475704076,258.2142923626666,130.88774197288515,,,,
labeled-data,testDogVideo_raw071452,img1218.png,,,,,178.17663887766128,137.3042627164088,153.86140237588745,138.65510918872957,188.6456990381472,117.3792772496775,,
labeled-data,testDogVideo_raw071452,img1640.png,,,,,198.10162434439258,147.09789964073434,181.5537550584632,155.20297847465895,200.80331728903406,141.3568021333711,163.65503930021305,151.48815067577684
labeled-data,testDogVideo_raw071452,img1897.png,,,,,217.6888981930437,137.30426271640883,175.13723431493958,141.01909051529094,,,,
labeled-data,testDogVideo_raw071452,img1935.png,,,,,218.70203304728426,136.62883948024844,174.12409946069897,143.0453602237721,,,162.6419044459725,117.04156563159734
labeled-data,testDogVideo_raw071452,img2324.png,224.78084217272772,73.81447851733284,,,232.5482093885721,142.03222536953152,177.8389272595811,139.66824404297017,208.23297288679834,126.15977931976252,170.4092716618169,129.8746071186446
labeled-data,testDogVideo_raw071452,img2432.png,186.61942932966605,97.79200340102642,,,232.88592100665232,142.03222536953152,199.79018243479356,150.81272743961648,,,,
labeled-data,testDogVideo_raw071452,img2570.png,142.04149574308082,56.25347437716288,201.4787405251945,64.02084159300728,141.7037841250006,125.48435608360214,139.67751441651944,119.74325857623887,197.08848949015203,133.25172329944652,199.11475919863318,123.12037475704079
labeled-data,testDogVideo_raw071452,img3311.png,120.76566380402873,64.02084159300728,157.23851855668943,114.00216106887561,102.52923642769841,134.2648581536871,,,126.1690496933118,131.56316520904556,120.76566380402873,122.7826631389606
labeled-data,testDogVideo_raw071452,img3686.png,185.94400609350572,55.240339522922305,158.92707664709036,64.35855321108747,,,192.02281521894912,120.08097019431906,149.47115134084504,137.30426271640883,181.89146667654342,137.30426271640883
labeled-data,testDogVideo_raw071452,img4030.png,,,165.00588577253382,131.90087682712576,,,,,135.96268661763736,138.3173975706494,,
labeled-data,testDogVideo_raw071452,img4252.png,141.7037841250006,60.64372541220538,152.17284428548652,77.52930631621496,133.59870529107604,116.02843077735676,156.22538370244882,114.00216106887561,139.00209118035906,139.33053242488998,168.72071357141596,136.29112786216825
labeled-data,testDogVideo_raw071452,img4379.png,150.8219978131658,59.29287893988461,128.53303101987314,87.99836647670088,141.7037841250006,120.75639343047945,165.00588577253382,119.06783534007849,118.73939409554758,127.51062579208326,165.34359739061398,126.49749093784271
labeled-data,testDogVideo_raw071452,img4494.png,148.12030486852422,61.65686026644595,148.12030486852422,128.52376064632384,,,,,,,,
