scorer,,,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg
bodyparts,,,Neck,Neck,Tailset,Tailset,LeftFrontPaw,LeftFrontPaw,RightFrontPaw,RightFrontPaw,leftBackPaw,leftBackPaw,RightBackPaw,RightBackPaw
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,testDogVideo_raw,img0254.png,187.74240962851593,90.41707501259232,121.66261140924601,110.43162928092889,211.25156861037155,113.60854265685529,222.3707654261141,119.00929539593025,,,154.70251051888096,125.6808134853758
labeled-data,testDogVideo_raw,img0278.png,221.41769141333614,51.02334915110449,155.6555845316589,63.41331131721761,210.93387727277891,113.92623399444795,222.68845676370674,120.28006074630082,155.02020185647362,118.37391272074497,157.8794238948074,125.0454308101905
labeled-data,testDogVideo_raw,img0391.png,132.78180822498854,49.75258380073392,189.96624899166443,59.601015266105875,142.94793102795313,122.1862087718567,130.2402775242474,116.15007335759648,188.3777923037012,116.15007335759647,186.1539529405527,109.47855526815094
labeled-data,testDogVideo_raw,img0416.png,130.55796886184004,50.38796647591921,190.91932300444236,60.87178061647644,143.2656223655458,121.86851743426406,130.2402775242474,115.19699934481855,188.69548364129386,117.1031473703744,186.47164427814533,109.47855526815094
labeled-data,testDogVideo_raw,img0497.png,118.80338937091221,54.51795386462359,159.15018924517798,106.30164189222451,119.12108070850485,121.86851743426408,101.3303658033168,115.83238202000385,128.33412949869154,119.96236940870821,128.33412949869154,112.33777730648475
labeled-data,testDogVideo_raw,img0549.png,69.56123204405243,51.02334915110452,131.19335153702534,68.81406405629255,76.86813280868324,123.13928278463464,85.44579892368462,115.83238202000385,129.92258618665474,120.91544342148615,100.69498312813153,112.97315998167005
labeled-data,testDogVideo_raw,img0654.png,94.97653905146393,85.0163222735174,148.98406644221336,100.26550647796428,47.64052975016001,125.04543081019052,54.94743051479081,116.1500733575965,122.29799408443131,117.42083870796705,,
labeled-data,testDogVideo_raw,img0822.png,,,,,153.4317451685104,136.48231896352567,121.02722873406071,132.67002291241397,,,,
labeled-data,testDogVideo_raw,img0860.png,112.76725395665198,106.61933322981716,,,95.61192172664923,150.77842915519466,74.64429344553473,143.1538370529712,152.16097981813982,123.45697412222727,,
labeled-data,testDogVideo_raw,img0891.png,39.69824631034392,101.53627182833488,130.2402775242474,71.990977432219,89.57578631238898,177.14681017538408,,,152.47867115573246,125.0454308101905,114.67340198220785,152.04919450556523
labeled-data,testDogVideo_raw,img0964.png,62.57202261701427,64.36638532999557,18.412926691636777,76.43865615851603,61.61894860423634,132.03464023722867,76.86813280868324,135.52924495074777,44.46361637423357,160.94455195815925,,
labeled-data,testDogVideo_raw,img1009.png,166.77478134740142,51.34104048869713,,,175.9878301375881,120.28006074630083,164.86863332184555,125.0454308101905,138.81794363924877,107.57240724259509,123.56875943480188,114.24392533204062
labeled-data,testDogVideo_raw,img1025.png,164.86863332184555,53.247188514253,,,177.25859548795867,119.9623694087082,163.59786797147498,124.72773947259786,138.81794363924877,108.20778991778039,122.93337675961658,114.56161666963325
